Neighbourhood Name,Latitude,Longitude,Violation_Type,Reported_Month,Reported_Year,QRT,Preschool,Kindergarten,Gr7_Gr9,Gr10_Gr12,Post_Secondary,Homemaker,Employedage0-30,Employed 30+ ,Unemployed,Retired,Permanently U,Employment_No Response,"Income_Less than $30,","Income_$30,000 to les","Income_$60,000 to les","Income_$100,000 to le","Income_$125,000 to le","Income_$150,000 to le","Income_$200,000 to le","Income_$250,000 or mo",Income_No Response,actual values,predicted
CRAWFORD PLAINS,53.441837,-113.406216,Assault,July,2016,Q3,223.0,301.0,126.0,146.0,133.0,139.0,242.0,1437.0,238.0,265.0,42.0,987.0,58.0,174.0,282.0,127.0,87.0,56.0,18.0,12.0,613.0,1,1.512
YELLOWHEAD CORRIDOR WEST,53.582841,-113.512729,Assault,September,2016,Q3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.64
AVONMORE,53.50778,-113.451631,Assault,January,2016,Q1,81.0,109.0,37.0,27.0,28.0,32.0,137.0,610.0,78.0,342.0,17.0,669.0,98.0,148.0,109.0,50.0,27.0,36.0,16.0,5.0,479.0,2,1.224
ERMINESKIN,53.457639,-113.505728,Sexual Assaults,September,2016,Q3,206.0,222.0,102.0,89.0,177.0,131.0,254.0,1580.0,225.0,800.0,49.0,1406.0,367.0,531.0,322.0,94.0,60.0,45.0,28.0,11.0,986.0,2,1.284
BRITANNIA YOUNGSTOWN,53.546295,-113.60151,Sexual Assaults,May,2016,Q2,156.0,159.0,65.0,55.0,69.0,70.0,192.0,1104.0,253.0,370.0,104.0,2142.0,207.0,223.0,190.0,67.0,31.0,17.0,2.0,5.0,1475.0,1,1.632
BELMONT,53.593124,-113.394379,Assault,November,2016,Q4,268.0,397.0,137.0,116.0,79.0,143.0,237.0,1455.0,292.0,475.0,58.0,1565.0,132.0,263.0,231.0,125.0,68.0,51.0,7.0,11.0,1070.0,1,1.51
CALLINGWOOD NORTH,53.507598,-113.623025,Assault,May,2016,Q2,152.0,167.0,56.0,37.0,56.0,52.0,117.0,882.0,134.0,177.0,29.0,517.0,126.0,247.0,207.0,50.0,14.0,8.0,5.0,2.0,450.0,2,1.632
YORK,53.602843,-113.430212,Assault,June,2016,Q2,180.0,237.0,122.0,113.0,98.0,106.0,187.0,1248.0,207.0,497.0,63.0,843.0,148.0,297.0,271.0,103.0,65.0,42.0,14.0,5.0,510.0,1,2.126
PARKDALE,53.565716,-113.47135,Assault,January,2016,Q1,97.0,104.0,44.0,35.0,92.0,82.0,150.0,774.0,126.0,270.0,77.0,1481.0,253.0,209.0,192.0,48.0,17.0,6.0,3.0,2.0,872.0,4,3.616
KENSINGTON,53.595863,-113.528924,Robbery,August,2016,Q3,85.0,122.0,47.0,42.0,35.0,74.0,106.0,660.0,112.0,772.0,32.0,1762.0,119.0,162.0,148.0,51.0,28.0,19.0,7.0,3.0,1102.0,1,1.21
LYNNWOOD,53.515701,-113.589909,Assault,July,2016,Q3,103.0,166.0,70.0,29.0,51.0,38.0,161.0,887.0,228.0,320.0,39.0,1188.0,70.0,159.0,161.0,58.0,45.0,45.0,15.0,6.0,816.0,1,2.016
